answer,distance,model,run
N,20,deepseek-chat,12
N,20,deepseek-chat,13
N,20,deepseek-chat,14
N,20,deepseek-chat,15
N,20,deepseek-chat,16
N,20,deepseek-chat,17
N,20,deepseek-chat,18
N,20,deepseek-chat,19
N,20,deepseek-chat,20
N,20,deepseek-chat,21
N,20,deepseek-chat,22
N,20,deepseek-chat,23
N,20,deepseek-chat,24
N,20,deepseek-chat,25
N,20,deepseek-chat,26
N,20,deepseek-chat,27
N,20,deepseek-chat,28
N,20,deepseek-chat,29
N,22,deepseek-chat,0
N,22,deepseek-chat,1
N,22,deepseek-chat,2
N,22,deepseek-chat,3
N,22,deepseek-chat,4
N,22,deepseek-chat,5
N,22,deepseek-chat,6
N,22,deepseek-chat,7
N,22,deepseek-chat,8
N,22,deepseek-chat,9
N,22,deepseek-chat,10
N,22,deepseek-chat,11
N,22,deepseek-chat,12
N,22,deepseek-chat,13
N,22,deepseek-chat,14
N,22,deepseek-chat,15
N,22,deepseek-chat,16
N,22,deepseek-chat,17
N,22,deepseek-chat,18
N,22,deepseek-chat,19
N,22,deepseek-chat,20
N,22,deepseek-chat,21
N,22,deepseek-chat,22
N,22,deepseek-chat,23
N,22,deepseek-chat,24
N,22,deepseek-chat,25
N,22,deepseek-chat,26
N,22,deepseek-chat,27
N,22,deepseek-chat,28
N,22,deepseek-chat,29
Y,24,deepseek-chat,0
Y,24,deepseek-chat,1
N,24,deepseek-chat,2
Y,24,deepseek-chat,3
Y,24,deepseek-chat,4
Y,24,deepseek-chat,5
Y,24,deepseek-chat,6
Y,24,deepseek-chat,7
Y,24,deepseek-chat,8
Y,24,deepseek-chat,9
Y,24,deepseek-chat,10
Y,24,deepseek-chat,11
Y,24,deepseek-chat,12
Y,24,deepseek-chat,13
Y,24,deepseek-chat,14
Y,24,deepseek-chat,15
Y,24,deepseek-chat,16
Y,24,deepseek-chat,17
Y,24,deepseek-chat,18
Y,24,deepseek-chat,19
Y,24,deepseek-chat,20
Y,24,deepseek-chat,21
N,24,deepseek-chat,22
Y,24,deepseek-chat,23
Y,24,deepseek-chat,24
Y,24,deepseek-chat,25
N,24,deepseek-chat,26
Y,24,deepseek-chat,27
Y,24,deepseek-chat,28
Y,24,deepseek-chat,29
N,26,deepseek-chat,0
N,26,deepseek-chat,1
Y,26,deepseek-chat,2
N,26,deepseek-chat,3
Y,26,deepseek-chat,4
Y,26,deepseek-chat,5
N,26,deepseek-chat,6
N,26,deepseek-chat,7
N,26,deepseek-chat,8
N,26,deepseek-chat,9
N,26,deepseek-chat,10
Y,26,deepseek-chat,11
N,26,deepseek-chat,12
Y,26,deepseek-chat,13
Y,26,deepseek-chat,14
Y,26,deepseek-chat,15
N,26,deepseek-chat,16
Y,26,deepseek-chat,17
N,26,deepseek-chat,18
N,26,deepseek-chat,19
Y,26,deepseek-chat,20
N,26,deepseek-chat,21
Y,26,deepseek-chat,22
N,26,deepseek-chat,23
N,26,deepseek-chat,24
N,26,deepseek-chat,25
Y,26,deepseek-chat,26
N,26,deepseek-chat,27
Y,26,deepseek-chat,28
Y,26,deepseek-chat,29
N,28,deepseek-chat,0
N,28,deepseek-chat,1
Y,28,deepseek-chat,2
Y,28,deepseek-chat,3
Y,28,deepseek-chat,4
Y,28,deepseek-chat,5
N,28,deepseek-chat,6
Y,28,deepseek-chat,7
Y,28,deepseek-chat,8
Y,28,deepseek-chat,9
N,28,deepseek-chat,10
Y,28,deepseek-chat,11
N,28,deepseek-chat,12
Y,28,deepseek-chat,13
Y,28,deepseek-chat,14
N,28,deepseek-chat,15
Y,28,deepseek-chat,16
Y,28,deepseek-chat,17
N,28,deepseek-chat,18
N,28,deepseek-chat,19
N,28,deepseek-chat,20
N,28,deepseek-chat,21
N,28,deepseek-chat,22
Y,28,deepseek-chat,23
N,28,deepseek-chat,24
Y,28,deepseek-chat,25
N,28,deepseek-chat,26
Y,28,deepseek-chat,27
Y,28,deepseek-chat,28
N,28,deepseek-chat,29
Y,30,deepseek-chat,0
Y,30,deepseek-chat,1
Y,30,deepseek-chat,2
Y,30,deepseek-chat,3
Y,30,deepseek-chat,4
Y,30,deepseek-chat,5
Y,30,deepseek-chat,6
Y,30,deepseek-chat,7
Y,30,deepseek-chat,8
Y,30,deepseek-chat,9
Y,30,deepseek-chat,10
Y,30,deepseek-chat,11
Y,30,deepseek-chat,12
Y,30,deepseek-chat,13
Y,30,deepseek-chat,14
Y,30,deepseek-chat,15
Y,30,deepseek-chat,16
Y,30,deepseek-chat,17
Y,30,deepseek-chat,18
Y,30,deepseek-chat,19
Y,30,deepseek-chat,20
Y,30,deepseek-chat,21
Y,30,deepseek-chat,22
Y,30,deepseek-chat,23
Y,30,deepseek-chat,24
Y,30,deepseek-chat,25
Y,30,deepseek-chat,26
Y,30,deepseek-chat,27
Y,30,deepseek-chat,28
Y,30,deepseek-chat,29
Y,32,deepseek-chat,0
Y,32,deepseek-chat,1
Y,32,deepseek-chat,2
Y,32,deepseek-chat,3
Y,32,deepseek-chat,4
Y,32,deepseek-chat,5
Y,32,deepseek-chat,6
Y,32,deepseek-chat,7
Y,32,deepseek-chat,8
Y,32,deepseek-chat,9
Y,32,deepseek-chat,10
Y,32,deepseek-chat,11
Y,32,deepseek-chat,12
Y,32,deepseek-chat,13
Y,32,deepseek-chat,14
Y,32,deepseek-chat,15
Y,32,deepseek-chat,16
Y,32,deepseek-chat,17
Y,32,deepseek-chat,18
Y,32,deepseek-chat,19
Y,32,deepseek-chat,20
Y,32,deepseek-chat,21
Y,32,deepseek-chat,22
Y,32,deepseek-chat,23
Y,32,deepseek-chat,24
Y,32,deepseek-chat,25
Y,32,deepseek-chat,26
Y,32,deepseek-chat,27
Y,32,deepseek-chat,28
Y,32,deepseek-chat,29
Y,34,deepseek-chat,0
Y,34,deepseek-chat,1
Y,34,deepseek-chat,2
Y,34,deepseek-chat,3
Y,34,deepseek-chat,4
Y,34,deepseek-chat,5
Y,34,deepseek-chat,6
Y,34,deepseek-chat,7
Y,34,deepseek-chat,8
Y,34,deepseek-chat,9
Y,34,deepseek-chat,10
Y,34,deepseek-chat,11
Y,34,deepseek-chat,12
Y,34,deepseek-chat,13
Y,34,deepseek-chat,14
Y,34,deepseek-chat,15
Y,34,deepseek-chat,16
Y,34,deepseek-chat,17
Y,34,deepseek-chat,18
Y,34,deepseek-chat,19
Y,34,deepseek-chat,20
Y,34,deepseek-chat,21
Y,34,deepseek-chat,22
Y,34,deepseek-chat,23
Y,34,deepseek-chat,24
Y,34,deepseek-chat,25
Y,34,deepseek-chat,26
Y,34,deepseek-chat,27
Y,34,deepseek-chat,28
Y,34,deepseek-chat,29
N,36,deepseek-chat,0
N,36,deepseek-chat,1
N,36,deepseek-chat,2
N,36,deepseek-chat,3
N,36,deepseek-chat,4
Y,36,deepseek-chat,5
N,36,deepseek-chat,6
N,36,deepseek-chat,7
N,36,deepseek-chat,8
N,36,deepseek-chat,9
N,36,deepseek-chat,10
N,36,deepseek-chat,11
N,36,deepseek-chat,12
Y,36,deepseek-chat,13
Y,36,deepseek-chat,14
N,36,deepseek-chat,15
Y,36,deepseek-chat,16
Y,36,deepseek-chat,17
Y,36,deepseek-chat,18
Y,36,deepseek-chat,19
N,36,deepseek-chat,20
N,36,deepseek-chat,21
N,36,deepseek-chat,22
Y,36,deepseek-chat,23
Y,36,deepseek-chat,24
N,36,deepseek-chat,25
Y,36,deepseek-chat,26
Y,36,deepseek-chat,27
Y,36,deepseek-chat,28
N,36,deepseek-chat,29
Y,38,deepseek-chat,0
N,38,deepseek-chat,1
N,38,deepseek-chat,2
N,38,deepseek-chat,3
Y,38,deepseek-chat,4
Y,38,deepseek-chat,5
Y,38,deepseek-chat,6
Y,38,deepseek-chat,7
Y,38,deepseek-chat,8
Y,38,deepseek-chat,9
N,38,deepseek-chat,10
Y,38,deepseek-chat,11
Y,38,deepseek-chat,12
Y,38,deepseek-chat,13
Y,38,deepseek-chat,14
Y,38,deepseek-chat,15
Y,38,deepseek-chat,16
N,38,deepseek-chat,17
Y,38,deepseek-chat,18
N,38,deepseek-chat,19
Y,38,deepseek-chat,20
Y,38,deepseek-chat,21
Y,38,deepseek-chat,22
Y,38,deepseek-chat,23
Y,38,deepseek-chat,24
Y,38,deepseek-chat,25
Y,38,deepseek-chat,26
Y,38,deepseek-chat,27
Y,38,deepseek-chat,28
N,38,deepseek-chat,29
Y,40,deepseek-chat,0
N,40,deepseek-chat,1
N,40,deepseek-chat,2
Y,40,deepseek-chat,3
N,40,deepseek-chat,4
N,40,deepseek-chat,5
Y,40,deepseek-chat,6
Y,40,deepseek-chat,7
Y,40,deepseek-chat,8
Y,40,deepseek-chat,9
Y,40,deepseek-chat,10
N,40,deepseek-chat,11
Y,40,deepseek-chat,12
Y,40,deepseek-chat,13
N,40,deepseek-chat,14
Y,40,deepseek-chat,15
N,40,deepseek-chat,16
Y,40,deepseek-chat,17
N,40,deepseek-chat,18
N,40,deepseek-chat,19
Y,40,deepseek-chat,20
Y,40,deepseek-chat,21
N,40,deepseek-chat,22
N,40,deepseek-chat,23
Y,40,deepseek-chat,24
Y,40,deepseek-chat,25
Y,40,deepseek-chat,26
N,40,deepseek-chat,27
N,40,deepseek-chat,28
Y,40,deepseek-chat,29
Y,42,deepseek-chat,0
Y,42,deepseek-chat,1
Y,42,deepseek-chat,2
Y,42,deepseek-chat,3
Y,42,deepseek-chat,4
Y,42,deepseek-chat,5
Y,42,deepseek-chat,6
Y,42,deepseek-chat,7
Y,42,deepseek-chat,8
Y,42,deepseek-chat,9
Y,42,deepseek-chat,10
Y,42,deepseek-chat,11
Y,42,deepseek-chat,12
Y,42,deepseek-chat,13
Y,42,deepseek-chat,14
Y,42,deepseek-chat,15
Y,42,deepseek-chat,16
Y,42,deepseek-chat,17
Y,42,deepseek-chat,18
Y,42,deepseek-chat,19
Y,42,deepseek-chat,20
Y,42,deepseek-chat,21
Y,42,deepseek-chat,22
Y,42,deepseek-chat,23
Y,42,deepseek-chat,24
Y,42,deepseek-chat,25
Y,42,deepseek-chat,26
Y,42,deepseek-chat,27
Y,42,deepseek-chat,28
Y,42,deepseek-chat,29
N,44,deepseek-chat,0
Y,44,deepseek-chat,1
Y,44,deepseek-chat,2
Y,44,deepseek-chat,3
N,44,deepseek-chat,4
Y,44,deepseek-chat,5
Y,44,deepseek-chat,6
Y,44,deepseek-chat,7
Y,44,deepseek-chat,8
N,44,deepseek-chat,9
Y,44,deepseek-chat,10
Y,44,deepseek-chat,11
N,44,deepseek-chat,12
N,44,deepseek-chat,13
N,44,deepseek-chat,14
N,44,deepseek-chat,15
N,44,deepseek-chat,16
N,44,deepseek-chat,17
N,44,deepseek-chat,18
N,44,deepseek-chat,19
N,44,deepseek-chat,20
N,44,deepseek-chat,21
N,44,deepseek-chat,22
N,44,deepseek-chat,23
Y,44,deepseek-chat,24
N,44,deepseek-chat,25
Y,44,deepseek-chat,26
N,44,deepseek-chat,27
N,44,deepseek-chat,28
N,44,deepseek-chat,29
N,46,deepseek-chat,0
Y,46,deepseek-chat,1
N,46,deepseek-chat,2
N,46,deepseek-chat,3
N,46,deepseek-chat,4
Y,46,deepseek-chat,5
N,46,deepseek-chat,6
N,46,deepseek-chat,7
Y,46,deepseek-chat,8
N,46,deepseek-chat,9
N,46,deepseek-chat,10
Y,46,deepseek-chat,11
N,46,deepseek-chat,12
Y,46,deepseek-chat,13
N,46,deepseek-chat,14
N,46,deepseek-chat,15
N,46,deepseek-chat,16
N,46,deepseek-chat,17
Y,46,deepseek-chat,18
Y,46,deepseek-chat,19
N,46,deepseek-chat,20
Y,46,deepseek-chat,21
N,46,deepseek-chat,22
N,46,deepseek-chat,23
N,46,deepseek-chat,24
Y,46,deepseek-chat,25
N,46,deepseek-chat,26
N,46,deepseek-chat,27
Y,46,deepseek-chat,28
N,46,deepseek-chat,29
Y,48,deepseek-chat,0
Y,48,deepseek-chat,1
Y,48,deepseek-chat,2
Y,48,deepseek-chat,3
Y,48,deepseek-chat,4
Y,48,deepseek-chat,5
Y,48,deepseek-chat,6
Y,48,deepseek-chat,7
Y,48,deepseek-chat,8
N,48,deepseek-chat,9
Y,48,deepseek-chat,10
Y,48,deepseek-chat,11
N,48,deepseek-chat,12
Y,48,deepseek-chat,13
Y,48,deepseek-chat,14
Y,48,deepseek-chat,15
Y,48,deepseek-chat,16
Y,48,deepseek-chat,17
Y,48,deepseek-chat,18
N,48,deepseek-chat,19
Y,48,deepseek-chat,20
N,48,deepseek-chat,21
Y,48,deepseek-chat,22
N,48,deepseek-chat,23
Y,48,deepseek-chat,24
Y,48,deepseek-chat,25
Y,48,deepseek-chat,26
N,48,deepseek-chat,27
N,48,deepseek-chat,28
N,48,deepseek-chat,29
N,50,deepseek-chat,0
N,50,deepseek-chat,1
Y,50,deepseek-chat,2
Y,50,deepseek-chat,3
Y,50,deepseek-chat,4
Y,50,deepseek-chat,5
Y,50,deepseek-chat,6
Y,50,deepseek-chat,7
N,50,deepseek-chat,8
Y,50,deepseek-chat,9
Y,50,deepseek-chat,10
N,50,deepseek-chat,11
Y,50,deepseek-chat,12
Y,50,deepseek-chat,13
Y,50,deepseek-chat,14
Y,50,deepseek-chat,15
Y,50,deepseek-chat,16
Y,50,deepseek-chat,17
N,50,deepseek-chat,18
Y,50,deepseek-chat,19
Y,50,deepseek-chat,20
Y,50,deepseek-chat,21
Y,50,deepseek-chat,22
Y,50,deepseek-chat,23
Y,50,deepseek-chat,24
Y,50,deepseek-chat,25
Y,50,deepseek-chat,26
Y,50,deepseek-chat,27
N,50,deepseek-chat,28
Y,50,deepseek-chat,29
