answer,distance,model,run
N,6,gpt-5.1,22
N,6,gpt-5.1,23
N,6,gpt-5.1,24
N,6,gpt-5.1,25
N,6,gpt-5.1,26
N,6,gpt-5.1,27
N,6,gpt-5.1,28
N,6,gpt-5.1,29
N,8,gpt-5.1,0
N,8,gpt-5.1,1
N,8,gpt-5.1,2
N,8,gpt-5.1,3
N,8,gpt-5.1,4
N,8,gpt-5.1,5
N,8,gpt-5.1,6
N,8,gpt-5.1,7
N,8,gpt-5.1,8
N,8,gpt-5.1,9
N,8,gpt-5.1,10
N,8,gpt-5.1,11
N,8,gpt-5.1,12
N,8,gpt-5.1,13
N,8,gpt-5.1,14
N,8,gpt-5.1,15
N,8,gpt-5.1,16
N,8,gpt-5.1,17
N,8,gpt-5.1,18
N,8,gpt-5.1,19
N,8,gpt-5.1,20
N,8,gpt-5.1,21
N,8,gpt-5.1,22
N,8,gpt-5.1,23
N,8,gpt-5.1,24
N,8,gpt-5.1,25
N,8,gpt-5.1,26
N,8,gpt-5.1,27
N,8,gpt-5.1,28
N,8,gpt-5.1,29
N,10,gpt-5.1,0
N,10,gpt-5.1,1
N,10,gpt-5.1,2
N,10,gpt-5.1,3
N,10,gpt-5.1,4
N,10,gpt-5.1,5
N,10,gpt-5.1,6
N,10,gpt-5.1,7
N,10,gpt-5.1,8
N,10,gpt-5.1,9
N,10,gpt-5.1,10
N,10,gpt-5.1,11
N,10,gpt-5.1,12
N,10,gpt-5.1,13
N,10,gpt-5.1,14
N,10,gpt-5.1,15
N,10,gpt-5.1,16
N,10,gpt-5.1,17
N,10,gpt-5.1,18
N,10,gpt-5.1,19
N,10,gpt-5.1,20
N,10,gpt-5.1,21
N,10,gpt-5.1,22
N,10,gpt-5.1,23
N,10,gpt-5.1,24
N,10,gpt-5.1,25
N,10,gpt-5.1,26
N,10,gpt-5.1,27
N,10,gpt-5.1,28
N,10,gpt-5.1,29
N,12,gpt-5.1,0
N,12,gpt-5.1,1
N,12,gpt-5.1,2
N,12,gpt-5.1,3
N,12,gpt-5.1,4
N,12,gpt-5.1,5
N,12,gpt-5.1,6
N,12,gpt-5.1,7
N,12,gpt-5.1,8
N,12,gpt-5.1,9
N,12,gpt-5.1,10
N,12,gpt-5.1,11
N,12,gpt-5.1,12
N,12,gpt-5.1,13
N,12,gpt-5.1,14
N,12,gpt-5.1,15
N,12,gpt-5.1,16
N,12,gpt-5.1,17
N,12,gpt-5.1,18
N,12,gpt-5.1,19
N,12,gpt-5.1,20
N,12,gpt-5.1,21
N,12,gpt-5.1,22
N,12,gpt-5.1,23
N,12,gpt-5.1,24
N,12,gpt-5.1,25
N,12,gpt-5.1,26
N,12,gpt-5.1,27
N,12,gpt-5.1,28
N,12,gpt-5.1,29
N,14,gpt-5.1,0
N,14,gpt-5.1,1
N,14,gpt-5.1,2
N,14,gpt-5.1,3
N,14,gpt-5.1,4
N,14,gpt-5.1,5
N,14,gpt-5.1,6
N,14,gpt-5.1,7
N,14,gpt-5.1,8
N,14,gpt-5.1,9
N,14,gpt-5.1,10
N,14,gpt-5.1,11
N,14,gpt-5.1,12
N,14,gpt-5.1,13
N,14,gpt-5.1,14
N,14,gpt-5.1,15
N,14,gpt-5.1,16
N,14,gpt-5.1,17
N,14,gpt-5.1,18
N,14,gpt-5.1,19
N,14,gpt-5.1,20
N,14,gpt-5.1,21
N,14,gpt-5.1,22
N,14,gpt-5.1,23
N,14,gpt-5.1,24
N,14,gpt-5.1,25
N,14,gpt-5.1,26
N,14,gpt-5.1,27
N,14,gpt-5.1,28
N,14,gpt-5.1,29
N,16,gpt-5.1,0
N,16,gpt-5.1,1
N,16,gpt-5.1,2
N,16,gpt-5.1,3
N,16,gpt-5.1,4
N,16,gpt-5.1,5
N,16,gpt-5.1,6
N,16,gpt-5.1,7
N,16,gpt-5.1,8
N,16,gpt-5.1,9
N,16,gpt-5.1,10
N,16,gpt-5.1,11
N,16,gpt-5.1,12
N,16,gpt-5.1,13
N,16,gpt-5.1,14
N,16,gpt-5.1,15
N,16,gpt-5.1,16
N,16,gpt-5.1,17
N,16,gpt-5.1,18
N,16,gpt-5.1,19
N,16,gpt-5.1,20
N,16,gpt-5.1,21
N,16,gpt-5.1,22
N,16,gpt-5.1,23
N,16,gpt-5.1,24
N,16,gpt-5.1,25
N,16,gpt-5.1,26
N,16,gpt-5.1,27
N,16,gpt-5.1,28
N,16,gpt-5.1,29
N,18,gpt-5.1,0
N,18,gpt-5.1,1
N,18,gpt-5.1,2
N,18,gpt-5.1,3
N,18,gpt-5.1,4
N,18,gpt-5.1,5
N,18,gpt-5.1,6
N,18,gpt-5.1,7
N,18,gpt-5.1,8
N,18,gpt-5.1,9
N,18,gpt-5.1,10
N,18,gpt-5.1,11
N,18,gpt-5.1,12
N,18,gpt-5.1,13
N,18,gpt-5.1,14
N,18,gpt-5.1,15
N,18,gpt-5.1,16
N,18,gpt-5.1,17
N,18,gpt-5.1,18
N,18,gpt-5.1,19
N,18,gpt-5.1,20
N,18,gpt-5.1,21
N,18,gpt-5.1,22
N,18,gpt-5.1,23
N,18,gpt-5.1,24
N,18,gpt-5.1,25
N,18,gpt-5.1,26
N,18,gpt-5.1,27
N,18,gpt-5.1,28
N,18,gpt-5.1,29
N,20,gpt-5.1,0
N,20,gpt-5.1,1
N,20,gpt-5.1,2
N,20,gpt-5.1,3
N,20,gpt-5.1,4
N,20,gpt-5.1,5
N,20,gpt-5.1,6
N,20,gpt-5.1,7
N,20,gpt-5.1,8
N,20,gpt-5.1,9
N,20,gpt-5.1,10
N,20,gpt-5.1,11
N,20,gpt-5.1,12
N,20,gpt-5.1,13
N,20,gpt-5.1,14
N,20,gpt-5.1,15
N,20,gpt-5.1,16
N,20,gpt-5.1,17
N,20,gpt-5.1,18
N,20,gpt-5.1,19
N,20,gpt-5.1,20
N,20,gpt-5.1,21
N,20,gpt-5.1,22
N,20,gpt-5.1,23
N,20,gpt-5.1,24
N,20,gpt-5.1,25
N,20,gpt-5.1,26
N,20,gpt-5.1,27
N,20,gpt-5.1,28
N,20,gpt-5.1,29
N,22,gpt-5.1,0
N,22,gpt-5.1,1
N,22,gpt-5.1,2
N,22,gpt-5.1,3
N,22,gpt-5.1,4
N,22,gpt-5.1,5
N,22,gpt-5.1,6
N,22,gpt-5.1,7
N,22,gpt-5.1,8
N,22,gpt-5.1,9
N,22,gpt-5.1,10
N,22,gpt-5.1,11
N,22,gpt-5.1,12
N,22,gpt-5.1,13
N,22,gpt-5.1,14
N,22,gpt-5.1,15
N,22,gpt-5.1,16
N,22,gpt-5.1,17
N,22,gpt-5.1,18
N,22,gpt-5.1,19
N,22,gpt-5.1,20
N,22,gpt-5.1,21
N,22,gpt-5.1,22
N,22,gpt-5.1,23
N,22,gpt-5.1,24
N,22,gpt-5.1,25
N,22,gpt-5.1,26
N,22,gpt-5.1,27
N,22,gpt-5.1,28
N,22,gpt-5.1,29
N,24,gpt-5.1,0
N,24,gpt-5.1,1
N,24,gpt-5.1,2
N,24,gpt-5.1,3
N,24,gpt-5.1,4
N,24,gpt-5.1,5
N,24,gpt-5.1,6
N,24,gpt-5.1,7
N,24,gpt-5.1,8
N,24,gpt-5.1,9
N,24,gpt-5.1,10
N,24,gpt-5.1,11
N,24,gpt-5.1,12
N,24,gpt-5.1,13
N,24,gpt-5.1,14
N,24,gpt-5.1,15
N,24,gpt-5.1,16
N,24,gpt-5.1,17
N,24,gpt-5.1,18
N,24,gpt-5.1,19
N,24,gpt-5.1,20
N,24,gpt-5.1,21
N,24,gpt-5.1,22
N,24,gpt-5.1,23
N,24,gpt-5.1,24
N,24,gpt-5.1,25
N,24,gpt-5.1,26
N,24,gpt-5.1,27
N,24,gpt-5.1,28
N,24,gpt-5.1,29
N,26,gpt-5.1,0
N,26,gpt-5.1,1
N,26,gpt-5.1,2
N,26,gpt-5.1,3
Y,26,gpt-5.1,4
Y,26,gpt-5.1,5
N,26,gpt-5.1,6
N,26,gpt-5.1,7
Y,26,gpt-5.1,8
N,26,gpt-5.1,9
N,26,gpt-5.1,10
Y,26,gpt-5.1,11
Y,26,gpt-5.1,12
N,26,gpt-5.1,13
N,26,gpt-5.1,14
Y,26,gpt-5.1,15
Y,26,gpt-5.1,16
Y,26,gpt-5.1,17
N,26,gpt-5.1,18
N,26,gpt-5.1,19
N,26,gpt-5.1,20
Y,26,gpt-5.1,21
Y,26,gpt-5.1,22
N,26,gpt-5.1,23
Y,26,gpt-5.1,24
N,26,gpt-5.1,25
Y,26,gpt-5.1,26
N,26,gpt-5.1,27
Y,26,gpt-5.1,28
N,26,gpt-5.1,29
N,28,gpt-5.1,0
N,28,gpt-5.1,1
N,28,gpt-5.1,2
N,28,gpt-5.1,3
N,28,gpt-5.1,4
N,28,gpt-5.1,5
N,28,gpt-5.1,6
Y,28,gpt-5.1,7
N,28,gpt-5.1,8
N,28,gpt-5.1,9
Y,28,gpt-5.1,10
Y,28,gpt-5.1,11
N,28,gpt-5.1,12
N,28,gpt-5.1,13
Y,28,gpt-5.1,14
Y,28,gpt-5.1,15
Y,28,gpt-5.1,16
N,28,gpt-5.1,17
N,28,gpt-5.1,18
N,28,gpt-5.1,19
Y,28,gpt-5.1,20
Y,28,gpt-5.1,21
Y,28,gpt-5.1,22
N,28,gpt-5.1,23
N,28,gpt-5.1,24
Y,28,gpt-5.1,25
N,28,gpt-5.1,26
N,28,gpt-5.1,27
N,28,gpt-5.1,28
N,28,gpt-5.1,29
Y,30,gpt-5.1,0
Y,30,gpt-5.1,1
Y,30,gpt-5.1,2
Y,30,gpt-5.1,3
N,30,gpt-5.1,4
Y,30,gpt-5.1,5
Y,30,gpt-5.1,6
Y,30,gpt-5.1,7
Y,30,gpt-5.1,8
Y,30,gpt-5.1,9
Y,30,gpt-5.1,10
Y,30,gpt-5.1,11
Y,30,gpt-5.1,12
Y,30,gpt-5.1,13
Y,30,gpt-5.1,14
Y,30,gpt-5.1,15
N,30,gpt-5.1,16
Y,30,gpt-5.1,17
Y,30,gpt-5.1,18
Y,30,gpt-5.1,19
Y,30,gpt-5.1,20
N,30,gpt-5.1,21
Y,30,gpt-5.1,22
Y,30,gpt-5.1,23
Y,30,gpt-5.1,24
Y,30,gpt-5.1,25
Y,30,gpt-5.1,26
Y,30,gpt-5.1,27
Y,30,gpt-5.1,28
Y,30,gpt-5.1,29
Y,32,gpt-5.1,0
Y,32,gpt-5.1,1
Y,32,gpt-5.1,2
Y,32,gpt-5.1,3
Y,32,gpt-5.1,4
Y,32,gpt-5.1,5
Y,32,gpt-5.1,6
Y,32,gpt-5.1,7
Y,32,gpt-5.1,8
Y,32,gpt-5.1,9
Y,32,gpt-5.1,10
Y,32,gpt-5.1,11
Y,32,gpt-5.1,12
N,32,gpt-5.1,13
Y,32,gpt-5.1,14
Y,32,gpt-5.1,15
Y,32,gpt-5.1,16
Y,32,gpt-5.1,17
Y,32,gpt-5.1,18
N,32,gpt-5.1,19
Y,32,gpt-5.1,20
Y,32,gpt-5.1,21
Y,32,gpt-5.1,22
Y,32,gpt-5.1,23
Y,32,gpt-5.1,24
Y,32,gpt-5.1,25
Y,32,gpt-5.1,26
Y,32,gpt-5.1,27
Y,32,gpt-5.1,28
N,32,gpt-5.1,29
Y,34,gpt-5.1,0
Y,34,gpt-5.1,1
Y,34,gpt-5.1,2
Y,34,gpt-5.1,3
Y,34,gpt-5.1,4
Y,34,gpt-5.1,5
Y,34,gpt-5.1,6
Y,34,gpt-5.1,7
Y,34,gpt-5.1,8
Y,34,gpt-5.1,9
Y,34,gpt-5.1,10
Y,34,gpt-5.1,11
Y,34,gpt-5.1,12
Y,34,gpt-5.1,13
Y,34,gpt-5.1,14
Y,34,gpt-5.1,15
Y,34,gpt-5.1,16
Y,34,gpt-5.1,17
Y,34,gpt-5.1,18
Y,34,gpt-5.1,19
Y,34,gpt-5.1,20
Y,34,gpt-5.1,21
Y,34,gpt-5.1,22
Y,34,gpt-5.1,23
Y,34,gpt-5.1,24
Y,34,gpt-5.1,25
Y,34,gpt-5.1,26
Y,34,gpt-5.1,27
Y,34,gpt-5.1,28
Y,34,gpt-5.1,29
Y,36,gpt-5.1,0
Y,36,gpt-5.1,1
Y,36,gpt-5.1,2
Y,36,gpt-5.1,3
Y,36,gpt-5.1,4
Y,36,gpt-5.1,5
Y,36,gpt-5.1,6
Y,36,gpt-5.1,7
Y,36,gpt-5.1,8
Y,36,gpt-5.1,9
Y,36,gpt-5.1,10
Y,36,gpt-5.1,11
Y,36,gpt-5.1,12
Y,36,gpt-5.1,13
Y,36,gpt-5.1,14
Y,36,gpt-5.1,15
Y,36,gpt-5.1,16
Y,36,gpt-5.1,17
Y,36,gpt-5.1,18
Y,36,gpt-5.1,19
Y,36,gpt-5.1,20
Y,36,gpt-5.1,21
Y,36,gpt-5.1,22
Y,36,gpt-5.1,23
Y,36,gpt-5.1,24
Y,36,gpt-5.1,25
Y,36,gpt-5.1,26
Y,36,gpt-5.1,27
Y,36,gpt-5.1,28
Y,36,gpt-5.1,29
Y,38,gpt-5.1,0
Y,38,gpt-5.1,1
Y,38,gpt-5.1,2
Y,38,gpt-5.1,3
Y,38,gpt-5.1,4
Y,38,gpt-5.1,5
Y,38,gpt-5.1,6
Y,38,gpt-5.1,7
Y,38,gpt-5.1,8
Y,38,gpt-5.1,9
Y,38,gpt-5.1,10
Y,38,gpt-5.1,11
Y,38,gpt-5.1,12
Y,38,gpt-5.1,13
Y,38,gpt-5.1,14
Y,38,gpt-5.1,15
Y,38,gpt-5.1,16
Y,38,gpt-5.1,17
Y,38,gpt-5.1,18
Y,38,gpt-5.1,19
Y,38,gpt-5.1,20
Y,38,gpt-5.1,21
Y,38,gpt-5.1,22
Y,38,gpt-5.1,23
Y,38,gpt-5.1,24
Y,38,gpt-5.1,25
Y,38,gpt-5.1,26
Y,38,gpt-5.1,27
Y,38,gpt-5.1,28
Y,38,gpt-5.1,29
Y,40,gpt-5.1,0
Y,40,gpt-5.1,1
Y,40,gpt-5.1,2
Y,40,gpt-5.1,3
Y,40,gpt-5.1,4
Y,40,gpt-5.1,5
Y,40,gpt-5.1,6
Y,40,gpt-5.1,7
Y,40,gpt-5.1,8
Y,40,gpt-5.1,9
Y,40,gpt-5.1,10
Y,40,gpt-5.1,11
Y,40,gpt-5.1,12
Y,40,gpt-5.1,13
Y,40,gpt-5.1,14
Y,40,gpt-5.1,15
Y,40,gpt-5.1,16
Y,40,gpt-5.1,17
Y,40,gpt-5.1,18
Y,40,gpt-5.1,19
Y,40,gpt-5.1,20
Y,40,gpt-5.1,21
Y,40,gpt-5.1,22
Y,40,gpt-5.1,23
Y,40,gpt-5.1,24
Y,40,gpt-5.1,25
Y,40,gpt-5.1,26
Y,40,gpt-5.1,27
Y,40,gpt-5.1,28
Y,40,gpt-5.1,29
Y,42,gpt-5.1,0
Y,42,gpt-5.1,1
Y,42,gpt-5.1,2
Y,42,gpt-5.1,3
Y,42,gpt-5.1,4
Y,42,gpt-5.1,5
Y,42,gpt-5.1,6
Y,42,gpt-5.1,7
Y,42,gpt-5.1,8
Y,42,gpt-5.1,9
Y,42,gpt-5.1,10
Y,42,gpt-5.1,11
Y,42,gpt-5.1,12
Y,42,gpt-5.1,13
Y,42,gpt-5.1,14
Y,42,gpt-5.1,15
Y,42,gpt-5.1,16
Y,42,gpt-5.1,17
Y,42,gpt-5.1,18
Y,42,gpt-5.1,19
Y,42,gpt-5.1,20
Y,42,gpt-5.1,21
Y,42,gpt-5.1,22
Y,42,gpt-5.1,23
Y,42,gpt-5.1,24
Y,42,gpt-5.1,25
Y,42,gpt-5.1,26
Y,42,gpt-5.1,27
Y,42,gpt-5.1,28
Y,42,gpt-5.1,29
Y,44,gpt-5.1,0
Y,44,gpt-5.1,1
Y,44,gpt-5.1,2
Y,44,gpt-5.1,3
Y,44,gpt-5.1,4
Y,44,gpt-5.1,5
Y,44,gpt-5.1,6
Y,44,gpt-5.1,7
Y,44,gpt-5.1,8
Y,44,gpt-5.1,9
Y,44,gpt-5.1,10
Y,44,gpt-5.1,11
Y,44,gpt-5.1,12
Y,44,gpt-5.1,13
Y,44,gpt-5.1,14
Y,44,gpt-5.1,15
Y,44,gpt-5.1,16
Y,44,gpt-5.1,17
Y,44,gpt-5.1,18
Y,44,gpt-5.1,19
Y,44,gpt-5.1,20
Y,44,gpt-5.1,21
Y,44,gpt-5.1,22
Y,44,gpt-5.1,23
Y,44,gpt-5.1,24
Y,44,gpt-5.1,25
Y,44,gpt-5.1,26
Y,44,gpt-5.1,27
Y,44,gpt-5.1,28
Y,44,gpt-5.1,29
Y,46,gpt-5.1,0
Y,46,gpt-5.1,1
Y,46,gpt-5.1,2
Y,46,gpt-5.1,3
Y,46,gpt-5.1,4
Y,46,gpt-5.1,5
Y,46,gpt-5.1,6
Y,46,gpt-5.1,7
Y,46,gpt-5.1,8
Y,46,gpt-5.1,9
Y,46,gpt-5.1,10
Y,46,gpt-5.1,11
Y,46,gpt-5.1,12
Y,46,gpt-5.1,13
Y,46,gpt-5.1,14
Y,46,gpt-5.1,15
Y,46,gpt-5.1,16
Y,46,gpt-5.1,17
Y,46,gpt-5.1,18
Y,46,gpt-5.1,19
Y,46,gpt-5.1,20
Y,46,gpt-5.1,21
Y,46,gpt-5.1,22
Y,46,gpt-5.1,23
Y,46,gpt-5.1,24
Y,46,gpt-5.1,25
Y,46,gpt-5.1,26
Y,46,gpt-5.1,27
Y,46,gpt-5.1,28
Y,46,gpt-5.1,29
Y,48,gpt-5.1,0
Y,48,gpt-5.1,1
Y,48,gpt-5.1,2
Y,48,gpt-5.1,3
Y,48,gpt-5.1,4
Y,48,gpt-5.1,5
Y,48,gpt-5.1,6
Y,48,gpt-5.1,7
Y,48,gpt-5.1,8
Y,48,gpt-5.1,9
Y,48,gpt-5.1,10
Y,48,gpt-5.1,11
Y,48,gpt-5.1,12
Y,48,gpt-5.1,13
Y,48,gpt-5.1,14
Y,48,gpt-5.1,15
Y,48,gpt-5.1,16
Y,48,gpt-5.1,17
Y,48,gpt-5.1,18
Y,48,gpt-5.1,19
Y,48,gpt-5.1,20
Y,48,gpt-5.1,21
Y,48,gpt-5.1,22
Y,48,gpt-5.1,23
Y,48,gpt-5.1,24
Y,48,gpt-5.1,25
Y,48,gpt-5.1,26
Y,48,gpt-5.1,27
Y,48,gpt-5.1,28
Y,48,gpt-5.1,29
Y,50,gpt-5.1,0
Y,50,gpt-5.1,1
Y,50,gpt-5.1,2
Y,50,gpt-5.1,3
Y,50,gpt-5.1,4
Y,50,gpt-5.1,5
Y,50,gpt-5.1,6
Y,50,gpt-5.1,7
Y,50,gpt-5.1,8
Y,50,gpt-5.1,9
Y,50,gpt-5.1,10
Y,50,gpt-5.1,11
Y,50,gpt-5.1,12
Y,50,gpt-5.1,13
Y,50,gpt-5.1,14
Y,50,gpt-5.1,15
Y,50,gpt-5.1,16
Y,50,gpt-5.1,17
Y,50,gpt-5.1,18
Y,50,gpt-5.1,19
Y,50,gpt-5.1,20
Y,50,gpt-5.1,21
Y,50,gpt-5.1,22
Y,50,gpt-5.1,23
Y,50,gpt-5.1,24
Y,50,gpt-5.1,25
Y,50,gpt-5.1,26
Y,50,gpt-5.1,27
Y,50,gpt-5.1,28
Y,50,gpt-5.1,29
