answer,provider,model,few shot,temperature,run,file_id
2,gpt,gpt-4.1-mini,1,1.2,7,1
2,gpt,gpt-4.1-mini,1,1.2,8,1
2,gpt,gpt-4.1-mini,1,1.2,9,1
2,gpt,gpt-4.1-mini,1,1.6,0,1
2,gpt,gpt-4.1-mini,1,1.6,1,1
2,gpt,gpt-4.1-mini,1,1.6,2,1
2,gpt,gpt-4.1-mini,1,1.6,3,1
2,gpt,gpt-4.1-mini,1,1.6,4,1
2,gpt,gpt-4.1-mini,1,1.6,5,1
2,gpt,gpt-4.1-mini,1,1.6,6,1
2,gpt,gpt-4.1-mini,1,1.6,7,1
2,gpt,gpt-4.1-mini,1,1.6,8,1
2,gpt,gpt-4.1-mini,1,1.6,9,1
3,gpt,gpt-4.1-mini,1,0,0,2
3,gpt,gpt-4.1-mini,1,0,1,2
3,gpt,gpt-4.1-mini,1,0,2,2
3,gpt,gpt-4.1-mini,1,0,3,2
3,gpt,gpt-4.1-mini,1,0,4,2
3,gpt,gpt-4.1-mini,1,0,5,2
3,gpt,gpt-4.1-mini,1,0,6,2
3,gpt,gpt-4.1-mini,1,0,7,2
3,gpt,gpt-4.1-mini,1,0,8,2
3,gpt,gpt-4.1-mini,1,0,9,2
3,gpt,gpt-4.1-mini,1,0.4,0,2
3,gpt,gpt-4.1-mini,1,0.4,1,2
3,gpt,gpt-4.1-mini,1,0.4,2,2
3,gpt,gpt-4.1-mini,1,0.4,3,2
3,gpt,gpt-4.1-mini,1,0.4,4,2
3,gpt,gpt-4.1-mini,1,0.4,5,2
3,gpt,gpt-4.1-mini,1,0.4,6,2
3,gpt,gpt-4.1-mini,1,0.4,7,2
3,gpt,gpt-4.1-mini,1,0.4,8,2
3,gpt,gpt-4.1-mini,1,0.4,9,2
3,gpt,gpt-4.1-mini,1,0.8,0,2
3,gpt,gpt-4.1-mini,1,0.8,1,2
3,gpt,gpt-4.1-mini,1,0.8,2,2
3,gpt,gpt-4.1-mini,1,0.8,3,2
3,gpt,gpt-4.1-mini,1,0.8,4,2
3,gpt,gpt-4.1-mini,1,0.8,5,2
3,gpt,gpt-4.1-mini,1,0.8,6,2
3,gpt,gpt-4.1-mini,1,0.8,7,2
3,gpt,gpt-4.1-mini,1,0.8,8,2
3,gpt,gpt-4.1-mini,1,0.8,9,2
3,gpt,gpt-4.1-mini,1,1.2,0,2
3,gpt,gpt-4.1-mini,1,1.2,1,2
3,gpt,gpt-4.1-mini,1,1.2,2,2
3,gpt,gpt-4.1-mini,1,1.2,3,2
3,gpt,gpt-4.1-mini,1,1.2,4,2
3,gpt,gpt-4.1-mini,1,1.2,5,2
3,gpt,gpt-4.1-mini,1,1.2,6,2
3,gpt,gpt-4.1-mini,1,1.2,7,2
3,gpt,gpt-4.1-mini,1,1.2,8,2
3,gpt,gpt-4.1-mini,1,1.2,9,2
3,gpt,gpt-4.1-mini,1,1.6,0,2
3,gpt,gpt-4.1-mini,1,1.6,1,2
3,gpt,gpt-4.1-mini,1,1.6,2,2
3,gpt,gpt-4.1-mini,1,1.6,3,2
3,gpt,gpt-4.1-mini,1,1.6,4,2
3,gpt,gpt-4.1-mini,1,1.6,5,2
3,gpt,gpt-4.1-mini,1,1.6,6,2
3,gpt,gpt-4.1-mini,1,1.6,7,2
3,gpt,gpt-4.1-mini,1,1.6,8,2
3,gpt,gpt-4.1-mini,1,1.6,9,2
3,gpt,gpt-4.1-mini,1,0,0,3
3,gpt,gpt-4.1-mini,1,0,1,3
3,gpt,gpt-4.1-mini,1,0,2,3
3,gpt,gpt-4.1-mini,1,0,3,3
3,gpt,gpt-4.1-mini,1,0,4,3
3,gpt,gpt-4.1-mini,1,0,5,3
3,gpt,gpt-4.1-mini,1,0,6,3
3,gpt,gpt-4.1-mini,1,0,7,3
3,gpt,gpt-4.1-mini,1,0,8,3
3,gpt,gpt-4.1-mini,1,0,9,3
3,gpt,gpt-4.1-mini,1,0.4,0,3
3,gpt,gpt-4.1-mini,1,0.4,1,3
3,gpt,gpt-4.1-mini,1,0.4,2,3
3,gpt,gpt-4.1-mini,1,0.4,3,3
3,gpt,gpt-4.1-mini,1,0.4,4,3
3,gpt,gpt-4.1-mini,1,0.4,5,3
3,gpt,gpt-4.1-mini,1,0.4,6,3
3,gpt,gpt-4.1-mini,1,0.4,7,3
3,gpt,gpt-4.1-mini,1,0.4,8,3
3,gpt,gpt-4.1-mini,1,0.4,9,3
3,gpt,gpt-4.1-mini,1,0.8,0,3
3,gpt,gpt-4.1-mini,1,0.8,1,3
3,gpt,gpt-4.1-mini,1,0.8,2,3
3,gpt,gpt-4.1-mini,1,0.8,3,3
3,gpt,gpt-4.1-mini,1,0.8,4,3
3,gpt,gpt-4.1-mini,1,0.8,5,3
3,gpt,gpt-4.1-mini,1,0.8,6,3
3,gpt,gpt-4.1-mini,1,0.8,7,3
3,gpt,gpt-4.1-mini,1,0.8,8,3
3,gpt,gpt-4.1-mini,1,0.8,9,3
3,gpt,gpt-4.1-mini,1,1.2,0,3
3,gpt,gpt-4.1-mini,1,1.2,1,3
3,gpt,gpt-4.1-mini,1,1.2,2,3
3,gpt,gpt-4.1-mini,1,1.2,3,3
3,gpt,gpt-4.1-mini,1,1.2,4,3
3,gpt,gpt-4.1-mini,1,1.2,5,3
3,gpt,gpt-4.1-mini,1,1.2,6,3
3,gpt,gpt-4.1-mini,1,1.2,7,3
3,gpt,gpt-4.1-mini,1,1.2,8,3
3,gpt,gpt-4.1-mini,1,1.2,9,3
3,gpt,gpt-4.1-mini,1,1.6,0,3
3,gpt,gpt-4.1-mini,1,1.6,1,3
3,gpt,gpt-4.1-mini,1,1.6,2,3
3,gpt,gpt-4.1-mini,1,1.6,3,3
3,gpt,gpt-4.1-mini,1,1.6,4,3
3,gpt,gpt-4.1-mini,1,1.6,5,3
3,gpt,gpt-4.1-mini,1,1.6,6,3
3,gpt,gpt-4.1-mini,1,1.6,7,3
3,gpt,gpt-4.1-mini,1,1.6,8,3
3,gpt,gpt-4.1-mini,1,1.6,9,3
0,gpt,gpt-4.1-mini,1,0,0,4
0,gpt,gpt-4.1-mini,1,0,1,4
0,gpt,gpt-4.1-mini,1,0,2,4
2,gpt,gpt-4.1-mini,1,0,3,4
0,gpt,gpt-4.1-mini,1,0,4,4
0,gpt,gpt-4.1-mini,1,0,5,4
0,gpt,gpt-4.1-mini,1,0,6,4
2,gpt,gpt-4.1-mini,1,0,7,4
0,gpt,gpt-4.1-mini,1,0,8,4
2,gpt,gpt-4.1-mini,1,0,9,4
0,gpt,gpt-4.1-mini,1,0.4,0,4
0,gpt,gpt-4.1-mini,1,0.4,1,4
0,gpt,gpt-4.1-mini,1,0.4,2,4
0,gpt,gpt-4.1-mini,1,0.4,3,4
0,gpt,gpt-4.1-mini,1,0.4,4,4
0,gpt,gpt-4.1-mini,1,0.4,5,4
2,gpt,gpt-4.1-mini,1,0.4,6,4
0,gpt,gpt-4.1-mini,1,0.4,7,4
0,gpt,gpt-4.1-mini,1,0.4,8,4
0,gpt,gpt-4.1-mini,1,0.4,9,4
2,gpt,gpt-4.1-mini,1,0.8,0,4
0,gpt,gpt-4.1-mini,1,0.8,1,4
0,gpt,gpt-4.1-mini,1,0.8,2,4
0,gpt,gpt-4.1-mini,1,0.8,3,4
0,gpt,gpt-4.1-mini,1,0.8,4,4
0,gpt,gpt-4.1-mini,1,0.8,5,4
0,gpt,gpt-4.1-mini,1,0.8,6,4
0,gpt,gpt-4.1-mini,1,0.8,7,4
0,gpt,gpt-4.1-mini,1,0.8,8,4
0,gpt,gpt-4.1-mini,1,0.8,9,4
2,gpt,gpt-4.1-mini,1,1.2,0,4
0,gpt,gpt-4.1-mini,1,1.2,1,4
0,gpt,gpt-4.1-mini,1,1.2,2,4
0,gpt,gpt-4.1-mini,1,1.2,3,4
0,gpt,gpt-4.1-mini,1,1.2,4,4
0,gpt,gpt-4.1-mini,1,1.2,5,4
2,gpt,gpt-4.1-mini,1,1.2,6,4
0,gpt,gpt-4.1-mini,1,1.2,7,4
0,gpt,gpt-4.1-mini,1,1.2,8,4
0,gpt,gpt-4.1-mini,1,1.2,9,4
0,gpt,gpt-4.1-mini,1,1.6,0,4
2,gpt,gpt-4.1-mini,1,1.6,1,4
0,gpt,gpt-4.1-mini,1,1.6,2,4
2,gpt,gpt-4.1-mini,1,1.6,3,4
2,gpt,gpt-4.1-mini,1,1.6,4,4
0,gpt,gpt-4.1-mini,1,1.6,5,4
0,gpt,gpt-4.1-mini,1,1.6,6,4
0,gpt,gpt-4.1-mini,1,1.6,7,4
0,gpt,gpt-4.1-mini,1,1.6,8,4
0,gpt,gpt-4.1-mini,1,1.6,9,4
2,gpt,gpt-4.1-mini,1,0,0,5
1,gpt,gpt-4.1-mini,1,0,1,5
2,gpt,gpt-4.1-mini,1,0,2,5
1,gpt,gpt-4.1-mini,1,0,3,5
1,gpt,gpt-4.1-mini,1,0,4,5
1,gpt,gpt-4.1-mini,1,0,5,5
1,gpt,gpt-4.1-mini,1,0,6,5
1,gpt,gpt-4.1-mini,1,0,7,5
1,gpt,gpt-4.1-mini,1,0,8,5
1,gpt,gpt-4.1-mini,1,0,9,5
1,gpt,gpt-4.1-mini,1,0.4,0,5
1,gpt,gpt-4.1-mini,1,0.4,1,5
1,gpt,gpt-4.1-mini,1,0.4,2,5
2,gpt,gpt-4.1-mini,1,0.4,3,5
1,gpt,gpt-4.1-mini,1,0.4,4,5
1,gpt,gpt-4.1-mini,1,0.4,5,5
1,gpt,gpt-4.1-mini,1,0.4,6,5
2,gpt,gpt-4.1-mini,1,0.4,7,5
1,gpt,gpt-4.1-mini,1,0.4,8,5
1,gpt,gpt-4.1-mini,1,0.4,9,5
1,gpt,gpt-4.1-mini,1,0.8,0,5
1,gpt,gpt-4.1-mini,1,0.8,1,5
2,gpt,gpt-4.1-mini,1,0.8,2,5
1,gpt,gpt-4.1-mini,1,0.8,3,5
1,gpt,gpt-4.1-mini,1,0.8,4,5
1,gpt,gpt-4.1-mini,1,0.8,5,5
1,gpt,gpt-4.1-mini,1,0.8,6,5
1,gpt,gpt-4.1-mini,1,0.8,7,5
2,gpt,gpt-4.1-mini,1,0.8,8,5
1,gpt,gpt-4.1-mini,1,0.8,9,5
2,gpt,gpt-4.1-mini,1,1.2,0,5
1,gpt,gpt-4.1-mini,1,1.2,1,5
2,gpt,gpt-4.1-mini,1,1.2,2,5
1,gpt,gpt-4.1-mini,1,1.2,3,5
2,gpt,gpt-4.1-mini,1,1.2,4,5
1,gpt,gpt-4.1-mini,1,1.2,5,5
2,gpt,gpt-4.1-mini,1,1.2,6,5
1,gpt,gpt-4.1-mini,1,1.2,7,5
1,gpt,gpt-4.1-mini,1,1.2,8,5
2,gpt,gpt-4.1-mini,1,1.2,9,5
1,gpt,gpt-4.1-mini,1,1.6,0,5
1,gpt,gpt-4.1-mini,1,1.6,1,5
1,gpt,gpt-4.1-mini,1,1.6,2,5
3,gpt,gpt-4.1-mini,1,1.6,3,5
1,gpt,gpt-4.1-mini,1,1.6,4,5
1,gpt,gpt-4.1-mini,1,1.6,5,5
1,gpt,gpt-4.1-mini,1,1.6,6,5
2,gpt,gpt-4.1-mini,1,1.6,7,5
1,gpt,gpt-4.1-mini,1,1.6,8,5
2,gpt,gpt-4.1-mini,1,1.6,9,5
1,gpt,gpt-4.1-mini,1,0,0,6
1,gpt,gpt-4.1-mini,1,0,1,6
1,gpt,gpt-4.1-mini,1,0,2,6
1,gpt,gpt-4.1-mini,1,0,3,6
1,gpt,gpt-4.1-mini,1,0,4,6
1,gpt,gpt-4.1-mini,1,0,5,6
1,gpt,gpt-4.1-mini,1,0,6,6
1,gpt,gpt-4.1-mini,1,0,7,6
1,gpt,gpt-4.1-mini,1,0,8,6
1,gpt,gpt-4.1-mini,1,0,9,6
1,gpt,gpt-4.1-mini,1,0.4,0,6
1,gpt,gpt-4.1-mini,1,0.4,1,6
1,gpt,gpt-4.1-mini,1,0.4,2,6
1,gpt,gpt-4.1-mini,1,0.4,3,6
1,gpt,gpt-4.1-mini,1,0.4,4,6
1,gpt,gpt-4.1-mini,1,0.4,5,6
1,gpt,gpt-4.1-mini,1,0.4,6,6
1,gpt,gpt-4.1-mini,1,0.4,7,6
1,gpt,gpt-4.1-mini,1,0.4,8,6
1,gpt,gpt-4.1-mini,1,0.4,9,6
1,gpt,gpt-4.1-mini,1,0.8,0,6
3,gpt,gpt-4.1-mini,1,0.8,1,6
1,gpt,gpt-4.1-mini,1,0.8,2,6
1,gpt,gpt-4.1-mini,1,0.8,3,6
1,gpt,gpt-4.1-mini,1,0.8,4,6
1,gpt,gpt-4.1-mini,1,0.8,5,6
1,gpt,gpt-4.1-mini,1,0.8,6,6
1,gpt,gpt-4.1-mini,1,0.8,7,6
1,gpt,gpt-4.1-mini,1,0.8,8,6
2,gpt,gpt-4.1-mini,1,0.8,9,6
1,gpt,gpt-4.1-mini,1,1.2,0,6
2,gpt,gpt-4.1-mini,1,1.2,1,6
3,gpt,gpt-4.1-mini,1,1.2,2,6
3,gpt,gpt-4.1-mini,1,1.2,3,6
1,gpt,gpt-4.1-mini,1,1.2,4,6
3,gpt,gpt-4.1-mini,1,1.2,5,6
1,gpt,gpt-4.1-mini,1,1.2,6,6
1,gpt,gpt-4.1-mini,1,1.2,7,6
1,gpt,gpt-4.1-mini,1,1.2,8,6
1,gpt,gpt-4.1-mini,1,1.2,9,6
3,gpt,gpt-4.1-mini,1,1.6,0,6
1,gpt,gpt-4.1-mini,1,1.6,1,6
1,gpt,gpt-4.1-mini,1,1.6,2,6
1,gpt,gpt-4.1-mini,1,1.6,3,6
1,gpt,gpt-4.1-mini,1,1.6,4,6
1,gpt,gpt-4.1-mini,1,1.6,5,6
1,gpt,gpt-4.1-mini,1,1.6,6,6
3,gpt,gpt-4.1-mini,1,1.6,7,6
1,gpt,gpt-4.1-mini,1,1.6,8,6
1,gpt,gpt-4.1-mini,1,1.6,9,6
3,gpt,gpt-4.1-mini,1,0,0,7
3,gpt,gpt-4.1-mini,1,0,1,7
3,gpt,gpt-4.1-mini,1,0,2,7
3,gpt,gpt-4.1-mini,1,0,3,7
3,gpt,gpt-4.1-mini,1,0,4,7
3,gpt,gpt-4.1-mini,1,0,5,7
3,gpt,gpt-4.1-mini,1,0,6,7
3,gpt,gpt-4.1-mini,1,0,7,7
3,gpt,gpt-4.1-mini,1,0,8,7
3,gpt,gpt-4.1-mini,1,0,9,7
3,gpt,gpt-4.1-mini,1,0.4,0,7
3,gpt,gpt-4.1-mini,1,0.4,1,7
3,gpt,gpt-4.1-mini,1,0.4,2,7
3,gpt,gpt-4.1-mini,1,0.4,3,7
3,gpt,gpt-4.1-mini,1,0.4,4,7
3,gpt,gpt-4.1-mini,1,0.4,5,7
3,gpt,gpt-4.1-mini,1,0.4,6,7
3,gpt,gpt-4.1-mini,1,0.4,7,7
3,gpt,gpt-4.1-mini,1,0.4,8,7
3,gpt,gpt-4.1-mini,1,0.4,9,7
3,gpt,gpt-4.1-mini,1,0.8,0,7
3,gpt,gpt-4.1-mini,1,0.8,1,7
3,gpt,gpt-4.1-mini,1,0.8,2,7
3,gpt,gpt-4.1-mini,1,0.8,3,7
3,gpt,gpt-4.1-mini,1,0.8,4,7
3,gpt,gpt-4.1-mini,1,0.8,5,7
3,gpt,gpt-4.1-mini,1,0.8,6,7
3,gpt,gpt-4.1-mini,1,0.8,7,7
3,gpt,gpt-4.1-mini,1,0.8,8,7
3,gpt,gpt-4.1-mini,1,0.8,9,7
3,gpt,gpt-4.1-mini,1,1.2,0,7
3,gpt,gpt-4.1-mini,1,1.2,1,7
3,gpt,gpt-4.1-mini,1,1.2,2,7
3,gpt,gpt-4.1-mini,1,1.2,3,7
3,gpt,gpt-4.1-mini,1,1.2,4,7
3,gpt,gpt-4.1-mini,1,1.2,5,7
3,gpt,gpt-4.1-mini,1,1.2,6,7
3,gpt,gpt-4.1-mini,1,1.2,7,7
3,gpt,gpt-4.1-mini,1,1.2,8,7
3,gpt,gpt-4.1-mini,1,1.2,9,7
3,gpt,gpt-4.1-mini,1,1.6,0,7
3,gpt,gpt-4.1-mini,1,1.6,1,7
3,gpt,gpt-4.1-mini,1,1.6,2,7
3,gpt,gpt-4.1-mini,1,1.6,3,7
3,gpt,gpt-4.1-mini,1,1.6,4,7
3,gpt,gpt-4.1-mini,1,1.6,5,7
3,gpt,gpt-4.1-mini,1,1.6,6,7
3,gpt,gpt-4.1-mini,1,1.6,7,7
3,gpt,gpt-4.1-mini,1,1.6,8,7
3,gpt,gpt-4.1-mini,1,1.6,9,7
3,gpt,gpt-4.1-mini,1,0,0,8
3,gpt,gpt-4.1-mini,1,0,1,8
3,gpt,gpt-4.1-mini,1,0,2,8
3,gpt,gpt-4.1-mini,1,0,3,8
3,gpt,gpt-4.1-mini,1,0,4,8
3,gpt,gpt-4.1-mini,1,0,5,8
3,gpt,gpt-4.1-mini,1,0,6,8
3,gpt,gpt-4.1-mini,1,0,7,8
3,gpt,gpt-4.1-mini,1,0,8,8
3,gpt,gpt-4.1-mini,1,0,9,8
3,gpt,gpt-4.1-mini,1,0.4,0,8
3,gpt,gpt-4.1-mini,1,0.4,1,8
3,gpt,gpt-4.1-mini,1,0.4,2,8
3,gpt,gpt-4.1-mini,1,0.4,3,8
3,gpt,gpt-4.1-mini,1,0.4,4,8
3,gpt,gpt-4.1-mini,1,0.4,5,8
3,gpt,gpt-4.1-mini,1,0.4,6,8
3,gpt,gpt-4.1-mini,1,0.4,7,8
3,gpt,gpt-4.1-mini,1,0.4,8,8
3,gpt,gpt-4.1-mini,1,0.4,9,8
3,gpt,gpt-4.1-mini,1,0.8,0,8
3,gpt,gpt-4.1-mini,1,0.8,1,8
3,gpt,gpt-4.1-mini,1,0.8,2,8
3,gpt,gpt-4.1-mini,1,0.8,3,8
3,gpt,gpt-4.1-mini,1,0.8,4,8
3,gpt,gpt-4.1-mini,1,0.8,5,8
3,gpt,gpt-4.1-mini,1,0.8,6,8
3,gpt,gpt-4.1-mini,1,0.8,7,8
3,gpt,gpt-4.1-mini,1,0.8,8,8
3,gpt,gpt-4.1-mini,1,0.8,9,8
3,gpt,gpt-4.1-mini,1,1.2,0,8
3,gpt,gpt-4.1-mini,1,1.2,1,8
3,gpt,gpt-4.1-mini,1,1.2,2,8
3,gpt,gpt-4.1-mini,1,1.2,3,8
3,gpt,gpt-4.1-mini,1,1.2,4,8
3,gpt,gpt-4.1-mini,1,1.2,5,8
2,gpt,gpt-4.1-mini,1,1.2,6,8
3,gpt,gpt-4.1-mini,1,1.2,7,8
3,gpt,gpt-4.1-mini,1,1.2,8,8
3,gpt,gpt-4.1-mini,1,1.2,9,8
3,gpt,gpt-4.1-mini,1,1.6,0,8
3,gpt,gpt-4.1-mini,1,1.6,1,8
3,gpt,gpt-4.1-mini,1,1.6,2,8
3,gpt,gpt-4.1-mini,1,1.6,3,8
3,gpt,gpt-4.1-mini,1,1.6,4,8
3,gpt,gpt-4.1-mini,1,1.6,5,8
2,gpt,gpt-4.1-mini,1,1.6,6,8
3,gpt,gpt-4.1-mini,1,1.6,7,8
3,gpt,gpt-4.1-mini,1,1.6,8,8
2,gpt,gpt-4.1-mini,1,1.6,9,8
3,gpt,gpt-4.1-mini,1,0,0,9
3,gpt,gpt-4.1-mini,1,0,1,9
3,gpt,gpt-4.1-mini,1,0,2,9
3,gpt,gpt-4.1-mini,1,0,3,9
3,gpt,gpt-4.1-mini,1,0,4,9
3,gpt,gpt-4.1-mini,1,0,5,9
3,gpt,gpt-4.1-mini,1,0,6,9
3,gpt,gpt-4.1-mini,1,0,7,9
3,gpt,gpt-4.1-mini,1,0,8,9
3,gpt,gpt-4.1-mini,1,0,9,9
3,gpt,gpt-4.1-mini,1,0.4,0,9
3,gpt,gpt-4.1-mini,1,0.4,1,9
3,gpt,gpt-4.1-mini,1,0.4,2,9
3,gpt,gpt-4.1-mini,1,0.4,3,9
3,gpt,gpt-4.1-mini,1,0.4,4,9
3,gpt,gpt-4.1-mini,1,0.4,5,9
3,gpt,gpt-4.1-mini,1,0.4,6,9
3,gpt,gpt-4.1-mini,1,0.4,7,9
3,gpt,gpt-4.1-mini,1,0.4,8,9
3,gpt,gpt-4.1-mini,1,0.4,9,9
3,gpt,gpt-4.1-mini,1,0.8,0,9
3,gpt,gpt-4.1-mini,1,0.8,1,9
3,gpt,gpt-4.1-mini,1,0.8,2,9
3,gpt,gpt-4.1-mini,1,0.8,3,9
3,gpt,gpt-4.1-mini,1,0.8,4,9
3,gpt,gpt-4.1-mini,1,0.8,5,9
3,gpt,gpt-4.1-mini,1,0.8,6,9
3,gpt,gpt-4.1-mini,1,0.8,7,9
3,gpt,gpt-4.1-mini,1,0.8,8,9
3,gpt,gpt-4.1-mini,1,0.8,9,9
3,gpt,gpt-4.1-mini,1,1.2,0,9
3,gpt,gpt-4.1-mini,1,1.2,1,9
3,gpt,gpt-4.1-mini,1,1.2,2,9
3,gpt,gpt-4.1-mini,1,1.2,3,9
3,gpt,gpt-4.1-mini,1,1.2,4,9
3,gpt,gpt-4.1-mini,1,1.2,5,9
3,gpt,gpt-4.1-mini,1,1.2,6,9
3,gpt,gpt-4.1-mini,1,1.2,7,9
3,gpt,gpt-4.1-mini,1,1.2,8,9
3,gpt,gpt-4.1-mini,1,1.2,9,9
3,gpt,gpt-4.1-mini,1,1.6,0,9
3,gpt,gpt-4.1-mini,1,1.6,1,9
3,gpt,gpt-4.1-mini,1,1.6,2,9
3,gpt,gpt-4.1-mini,1,1.6,3,9
1,gpt,gpt-4.1-mini,1,1.6,4,9
3,gpt,gpt-4.1-mini,1,1.6,5,9
3,gpt,gpt-4.1-mini,1,1.6,6,9
3,gpt,gpt-4.1-mini,1,1.6,7,9
3,gpt,gpt-4.1-mini,1,1.6,8,9
3,gpt,gpt-4.1-mini,1,1.6,9,9
3,gpt,gpt-4.1-mini,1,0,0,10
3,gpt,gpt-4.1-mini,1,0,1,10
3,gpt,gpt-4.1-mini,1,0,2,10
3,gpt,gpt-4.1-mini,1,0,3,10
3,gpt,gpt-4.1-mini,1,0,4,10
3,gpt,gpt-4.1-mini,1,0,5,10
3,gpt,gpt-4.1-mini,1,0,6,10
3,gpt,gpt-4.1-mini,1,0,7,10
3,gpt,gpt-4.1-mini,1,0,8,10
3,gpt,gpt-4.1-mini,1,0,9,10
3,gpt,gpt-4.1-mini,1,0.4,0,10
3,gpt,gpt-4.1-mini,1,0.4,1,10
3,gpt,gpt-4.1-mini,1,0.4,2,10
3,gpt,gpt-4.1-mini,1,0.4,3,10
3,gpt,gpt-4.1-mini,1,0.4,4,10
3,gpt,gpt-4.1-mini,1,0.4,5,10
3,gpt,gpt-4.1-mini,1,0.4,6,10
3,gpt,gpt-4.1-mini,1,0.4,7,10
3,gpt,gpt-4.1-mini,1,0.4,8,10
3,gpt,gpt-4.1-mini,1,0.4,9,10
3,gpt,gpt-4.1-mini,1,0.8,0,10
3,gpt,gpt-4.1-mini,1,0.8,1,10
3,gpt,gpt-4.1-mini,1,0.8,2,10
3,gpt,gpt-4.1-mini,1,0.8,3,10
3,gpt,gpt-4.1-mini,1,0.8,4,10
3,gpt,gpt-4.1-mini,1,0.8,5,10
3,gpt,gpt-4.1-mini,1,0.8,6,10
3,gpt,gpt-4.1-mini,1,0.8,7,10
3,gpt,gpt-4.1-mini,1,0.8,8,10
3,gpt,gpt-4.1-mini,1,0.8,9,10
3,gpt,gpt-4.1-mini,1,1.2,0,10
3,gpt,gpt-4.1-mini,1,1.2,1,10
3,gpt,gpt-4.1-mini,1,1.2,2,10
3,gpt,gpt-4.1-mini,1,1.2,3,10
3,gpt,gpt-4.1-mini,1,1.2,4,10
3,gpt,gpt-4.1-mini,1,1.2,5,10
3,gpt,gpt-4.1-mini,1,1.2,6,10
3,gpt,gpt-4.1-mini,1,1.2,7,10
3,gpt,gpt-4.1-mini,1,1.2,8,10
3,gpt,gpt-4.1-mini,1,1.2,9,10
3,gpt,gpt-4.1-mini,1,1.6,0,10
3,gpt,gpt-4.1-mini,1,1.6,1,10
3,gpt,gpt-4.1-mini,1,1.6,2,10
3,gpt,gpt-4.1-mini,1,1.6,3,10
3,gpt,gpt-4.1-mini,1,1.6,4,10
3,gpt,gpt-4.1-mini,1,1.6,5,10
3,gpt,gpt-4.1-mini,1,1.6,6,10
3,gpt,gpt-4.1-mini,1,1.6,7,10
3,gpt,gpt-4.1-mini,1,1.6,8,10
3,gpt,gpt-4.1-mini,1,1.6,9,10
3,gpt,gpt-4.1-mini,1,0,0,11
3,gpt,gpt-4.1-mini,1,0,1,11
3,gpt,gpt-4.1-mini,1,0,2,11
3,gpt,gpt-4.1-mini,1,0,3,11
1,gpt,gpt-4.1-mini,1,0,4,11
3,gpt,gpt-4.1-mini,1,0,5,11
3,gpt,gpt-4.1-mini,1,0,6,11
3,gpt,gpt-4.1-mini,1,0,7,11
3,gpt,gpt-4.1-mini,1,0,8,11
3,gpt,gpt-4.1-mini,1,0,9,11
3,gpt,gpt-4.1-mini,1,0.4,0,11
3,gpt,gpt-4.1-mini,1,0.4,1,11
1,gpt,gpt-4.1-mini,1,0.4,2,11
3,gpt,gpt-4.1-mini,1,0.4,3,11
3,gpt,gpt-4.1-mini,1,0.4,4,11
1,gpt,gpt-4.1-mini,1,0.4,5,11
3,gpt,gpt-4.1-mini,1,0.4,6,11
3,gpt,gpt-4.1-mini,1,0.4,7,11
3,gpt,gpt-4.1-mini,1,0.4,8,11
3,gpt,gpt-4.1-mini,1,0.4,9,11
3,gpt,gpt-4.1-mini,1,0.8,0,11
3,gpt,gpt-4.1-mini,1,0.8,1,11
3,gpt,gpt-4.1-mini,1,0.8,2,11
3,gpt,gpt-4.1-mini,1,0.8,3,11
1,gpt,gpt-4.1-mini,1,0.8,4,11
